comment_id,parent_comment_id,author,text,published_at,likes,reply_count
UgxjL2D6SxUL-yAmrGJ4AaABAg,,@ekaanun5707,"Yg bilang sekolah swasta udh dpt dana BOS, jdi sekolah swasta bisa gratis....ato yg bilang dana BOS utk menumpuk kekayaan pengelola sekolah, karena jdi double pendapatan....itu bener2 kocak siih. Emang tau berapa biaya operasional sekolah2 swasta? Bukan hanya utk gaji guru yaa, tpi jga utk semua sarana & prasarana yg mereka punya. Seperti di sekolah2 swasta unggulan ( spt SDH, SPH, Al Azhar, dll), cukupkah dana BOS utk mengcover semua biaya operasional mereka? 😂",2025-05-28T00:07:04Z,0,0
UgxF83Kj4tcIiQwNlIt4AaABAg,,@dirmansyah447,"Sekolah negeri juga masih banyak yang bayar ini itu,apalagi swasta yang ngandelin gaji dari murid",2025-05-28T00:01:09Z,0,0
Ugz6ca42os4hmAYoqMF4AaABAg,,@WADAHKOSONGCP,"Makin gratis sekolah makin meremehkan pendidikan bagi anak anak jaman sekarang, walaupun tidak semuanya. Menurut fakta sekarang banyak siswa SD dan SMP bahkan SMA menghitung dan membaca saja banyak yg tidak bisa😏. Menurutku bagusnya diberlakukan bebas biaya bagi siswa berprestasi saja itu lebih bagus",2025-05-27T23:52:42Z,0,0
UgwG_JlOj2nzrK0Wfcx4AaABAg,,@donxquito_1784,Berarti sekolah jenjang sd sampai smp yg masih bayar bisa dikenakan hukum?,2025-05-27T23:50:51Z,0,0
UgzNvs_KS7KdqSRjXGp4AaABAg,,@evakristiyanti5586,Swasta di suruh gratis....lha gurunya dan operasionalnya siapa yg akan biayai?buat putusan yg gak masuk akal....😤,2025-05-27T23:49:46Z,0,0
UgzIqFRQ06OdG7ZSyZZ4AaABAg,,@BalikpapanBpn-z8y,"Kurang percaya saya..
 Dari dulu katanya gratis sekolah SD/SMP nyatanya masih bayar uang gedung, bayar tes semeter dll..? 

 Sekolah gratis mungkin mimpi..",2025-05-27T23:44:36Z,0,0
UgxMyTnzIWAcE7l0OE14AaABAg,,@jakasembuh1730,Sekolah gratis lebih baik minimal sampe SMA dari pada makan gratis yg ahirnya jadi bisnis KKN,2025-05-27T23:40:42Z,0,0
Ugy1nCvjNU0o3G86KZ14AaABAg,,@abnafa1286,"Pemerintah udah kurang kerjaan, segala urusan swasta diacak2 😂😂 negeri aja blm keuruss hahaha",2025-05-27T23:22:52Z,0,0
Ugx0nzAk85LZ6gAda494AaABAg,,@YadickJepara,Kalau swasta gratis siapa yang menggaji gurunya,2025-05-27T23:20:43Z,0,0
UgzmEQBZKH0AoPdkjn94AaABAg,,@alsaifok,"Swasta gak pa2 tetap bayar. Kl gak bayar justru membatasi kreativitas swasta. SD negeri masih banyak yang kosong, semua lari ke swasta. Di daerah sini banyak SD negeri yang muridnya hanya belasan saja. Kalah bersaing dg swasta. Kl swasta jg gratis khawatir kualitas menurun seperti SD negeri.",2025-05-27T23:18:00Z,0,0
UgycDrODhc37TwW-gq54AaABAg,,@hebathebat9925,"Sekolah swasta gratis? Edan.

Saya sudah nyaman dengan sekolah swasta yang saya pilih untuk anak saya. Tidak keberatan dengan biaya yang diminta pihak sekolah.

Kalau tiba tiba gratis, apa bisa sekolah anak saya mempertahankan kualitasnya?

Hanya mengandalkan subsidi pemerintah????Apa bisa yayasan yang menaungi sekolah menggaji para guru dengan layak?

Mikir bos.",2025-05-27T23:01:24Z,0,0
Ugxz8wjDRE5DlZVgIMd4AaABAg,,@MuhammadMuhammad-zf9bn,Gaji guru 😂pemerintah bayar,2025-05-27T22:48:41Z,0,0
UgwcGawm8k5EbWJ2ug94AaABAg,,@seloagung6127,"Apa mungkin di swasta ada yang srkolah elid 😂😂😂😂😂 contoh
Bpjs asuransi swasta dan bayar sendiri",2025-05-27T22:41:52Z,0,0
UgzWRQXfzmnsryYxYCB4AaABAg,,@RRRRRRRRRRR956,"Lah gebleg, kalau gitu caranya ngapain ada sekolah swasta, udah bener yg diurusin sekolah negri aja, sekolah swasta dikasih aturan tapi ga usah dikasih dana bos, hadeh",2025-05-27T22:38:29Z,0,0
Ugyj93CKxXaUaxvi7YN4AaABAg,,@uwaisrailfans,"wah, ada uang ada mutu...
agak rumit kalo swasta digratiskan..",2025-05-27T22:27:05Z,0,0
UgypLgKn1i5YQrz7ILV4AaABAg,,@bodoamatsekalikali,"Wajib gratis total tanpa pungutan apapun untuk sekolah negeri, swasta mau gratis bapak kau, tanah beli sendiri, gedung bangun sendiri, fasilitas dana sendiri, guru gaji sendiri, mau gratis MIKIRRRR",2025-05-27T22:21:45Z,0,0
